Rep1,Sharing,PercAccuracy,sentenceNumber
1,61,61,53
0,40,82,54
0,61,81,55
1,61,81,56
1,81,81,57
1,80,80,58
0,81,82,59
1,81,61,60
0,1,1,1
1,40,98,2
1,80,100,3
1,41,80,4
1,1,38,5
0,81,100,6
0,22,41,7
0,19,60,8
1,1,4,9
0,1,1,10
1,41,62,11
1,41,60,12
1,1,80,13
0,40,82,14
0,62,82,15
0,1,40,16
1,41,60,17
1,65,61,18
0,60,81,19
0,81,80,20
1,1,1,21
0,1,41,22
1,81,81,23
0,42,62,24
1,61,80,25
0,23,63,26
1,1,17,27
0,80,81,28
1,1,1,29
0,1,1,30
0,1,1,31
0,17,1,32
0,20,60,33
0,1,1,34
1,21,40,35
0,1,1,36
1,1,25,37
0,1,1,38
0,42,61,39
1,19,39,40
1,59,100,41
0,62,82,42
1,22,60,43
1,39,60,44
1,20,42,45
0,22,20,46
1,1,60,47
0,19,1,48
0,1,1,49
1,100,100,50
1,100,100,51
1,19,59,52
0,23,22,53
1,80,100,54
0,42,100,55
1,81,77,56
1,41,79,57
0,82,61,58
0,80,100,59
1,82,100,60
0,1,99,1
1,1,82,2
1,100,99,3
0,100,96,4
0,55,86,5
0,95,80,6
1,100,98,7
0,13,60,8
1,64,79,9
1,61,86,10
0,1,1,11
1,91,90,12
1,1,2,13
0,58,80,14
0,36,82,15
0,61,61,16
1,82,98,17
1,33,69,18
0,100,98,19
0,100,80,20
0,1,3,21
1,97,95,22
0,69,79,23
1,1,2,24
1,100,98,25
1,100,96,26
0,17,17,27
1,88,98,28
1,100,95,29
0,14,43,30
0,1,1,31
0,1,1,32
1,100,98,33
1,100,95,34
1,100,90,35
0,91,100,36
1,9,21,37
0,33,26,38
1,100,100,39
1,68,64,40
0,33,73,41
1,95,95,42
0,40,90,43
1,84,99,44
1,100,97,45
1,64,78,46
0,100,100,47
1,80,99,48
1,1,1,49
1,87,90,50
0,61,100,51
0,80,95,52
0,28,63,53
0,100,93,54
0,71,79,55
1,99,97,56
0,62,74,57
0,87,100,58
1,55,73,59
0,79,83,60
0,1,1,1
0,62,70,2
1,86,100,3
1,64,78,4
1,73,88,5
1,68,94,6
0,70,58,7
0,40,87,8
0,1,1,9
1,17,21,10
0,1,1,11
1,81,100,12
0,25,1,13
0,1,18,14
0,78,100,15
1,22,38,16
1,24,19,17
0,64,71,18
0,61,91,19
0,81,100,20
1,1,1,21
1,63,80,22
0,76,100,23
1,100,100,24
1,40,100,25
1,93,100,26
0,1,1,27
0,86,100,28
1,61,88,29
1,59,100,30
1,1,1,31
1,71,72,32
0,1,1,33
1,25,33,34
1,35,58,35
0,1,100,36
0,83,89,37
0,1,1,38
0,66,91,39
0,1,1,40
1,65,83,41
0,66,79,42
1,78,86,43
1,100,100,44
1,77,92,45
0,1,80,46
1,75,79,47
0,34,1,48
1,20,33,49
0,69,91,50
0,91,100,51
1,72,25,52
1,59,30,53
0,80,82,54
0,1,56,55
0,100,100,56
1,1,100,57
0,85,94,58
1,77,100,59
1,78,91,60
1,1,19,1
0,1,63,2
0,1,62,3
0,1,24,4
0,1,38,5
1,1,79,6
1,1,1,7
0,1,1,8
0,1,4,9
1,1,1,10
1,1,19,11
0,1,60,12
0,1,51,13
1,1,1,14
1,1,77,15
1,42,90,16
0,1,9,17
1,1,17,18
1,1,23,19
0,40,80,20
1,1,1,21
0,1,66,22
1,20,60,23
1,1,52,24
0,21,88,25
1,1,39,26
1,1,24,27
1,1,7,28
0,1,40,29
0,1,22,30
0,1,78,31
1,1,1,32
1,1,5,33
0,1,32,34
0,1,8,35
1,1,41,36
0,1,47,37
1,1,1,38
1,1,22,39
0,1,1,40
1,21,80,41
0,1,60,42
1,1,5,43
0,1,26,44
0,1,20,45
0,1,22,46
0,1,77,47
1,20,42,48
0,1,1,49
1,41,81,50
0,20,61,51
1,1,40,52
1,1,29,53
1,39,100,54
0,1,38,55
1,1,61,56
0,1,24,57
1,1,60,58
0,1,80,59
0,1,70,60
1,1,2,1
0,30,75,2
0,93,87,3
1,76,92,4
0,56,68,5
1,4,61,6
1,2,3,7
0,8,38,8
0,3,2,9
1,9,9,10
0,1,2,11
0,71,96,12
0,5,12,13
0,69,90,14
0,57,81,15
1,30,61,16
0,19,16,17
0,36,49,18
0,71,86,19
1,93,88,20
1,2,1,21
1,50,76,22
1,43,77,23
1,65,79,24
0,20,74,25
1,69,82,26
1,2,6,27
0,95,79,28
1,24,14,29
1,42,10,30
1,1,1,31
1,49,51,32
0,4,4,33
0,3,2,34
0,6,11,35
0,60,97,36
1,2,19,37
0,6,2,38
1,53,94,39
0,2,8,40
0,72,97,41
1,97,98,42
0,81,91,43
1,21,14,44
1,28,61,45
0,2,11,46
0,88,93,47
0,4,9,48
1,1,6,49
1,75,79,50
1,65,87,51
0,39,84,52
1,2,10,53
0,95,97,54
1,14,41,55
1,81,89,56
0,90,96,57
1,1,9,58
0,79,97,59
1,68,78,60
0,1,1,1
1,1,100,2
0,60,78,3
0,1,59,4
0,1,100,5
0,1,79,6
0,1,20,7
0,23,57,8
1,1,20,9
0,1,1,10
1,1,79,11
1,1,62,12
0,1,1,13
1,23,100,14
1,1,100,15
1,1,100,16
0,1,40,17
1,1,38,18
0,1,82,19
0,1,62,20
0,1,62,21
1,1,77,22
1,1,64,23
1,1,69,24
0,1,79,25
1,1,100,26
1,1,80,27
1,1,100,28
1,1,3,29
1,1,18,30
0,1,18,31
0,20,41,32
1,1,60,33
0,1,60,34
1,1,41,35
0,20,80,36
0,1,80,37
1,1,60,38
0,1,64,39
0,1,1,40
0,1,80,41
0,1,100,42
0,42,100,43
0,1,79,44
1,1,100,45
0,1,39,46
1,1,78,47
0,1,38,48
1,1,80,49
1,1,79,50
0,1,80,51
1,1,62,52
0,40,39,53
1,1,100,54
1,1,41,55
1,1,100,56
1,1,100,57
1,20,22,58
1,1,75,59
0,19,60,60
1,17,59,1
1,21,41,2
1,64,82,3
0,14,89,4
1,30,58,5
1,81,65,6
1,8,21,7
0,23,64,8
0,47,61,9
1,4,23,10
1,1,41,11
0,54,76,12
0,23,34,13
0,66,86,14
1,60,73,15
0,13,62,16
0,11,30,17
0,70,62,18
1,53,79,19
0,62,84,20
0,17,59,21
1,58,60,22
0,59,69,23
0,29,56,24
1,57,87,25
0,10,72,26
0,18,29,27
0,67,87,28
0,1,9,29
1,8,17,30
1,1,3,31
0,9,66,32
1,10,26,33
0,9,20,34
1,3,17,35
0,58,62,36
0,41,25,37
0,61,62,38
